# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS
1611	Rapanui	Rapanui (Easter Island)	rapa1244	1577	and	e	e	POLLEX	167982	1313			e
1864	Mangareva	Mangareva	mang1401	1577	and	e	e	POLLEX	321442	1313			e
3089	Sikaiana	Sikaiana	sika1261	1577	and	ma	ma	POLLEX	68430	520			m a
3310	North_Marquesan	Marquesan	nort2845	1577	and	maa	maa	POLLEX	68225	520			m aː
#
4453	Ra’ivavae	Ra'ivavae	aust1304	646	ash	Gehu auahi	Gehu auahi	Tamaititahio-1213-2015	291285	1183			ɢ e h u a u a h i
4652	Tuamotuan	Tuamotu	tuam1242	646	ash	rehu	rehu	POLLEX	52011	1183			r e h u
793	Maori	Maori	maor1246	646	ash	pungarehu	pungarehu	Biggs-85-2005	51850	1183			p u ŋ a r e h u
5174	Rurutuan	Rurutuan	aust1304	646	ash	reʔu	reʔu	Meyer-128-2005	51893	1183			r e ʔ u
1238	Tahitian	Tahitian (Modern)	tahi1242	646	ash	rehu	rehu	Clark-173-2005	51938	1183			r e h u
5682	Hawaiian	Hawaiian	hawa1245	646	ash	lehu	lehu	71458	51817	1183			l e h u
1670	Rapanui	Rapanui (Easter Island)	rapa1244	646	ash	éoéo	éoéo	POLLEX	130638	1183			ʔ e o ʔ e o
1921	Mangareva	Mangareva	mang1401	646	ash	ngara'u	ngara'u	POLLEX	321563	10			ŋ a r a ʔ u
1922	Mangareva	Mangareva	mang1401	646	ash	e'u	e'u	POLLEX	321562	1183			ʔ e ʔ u
3137	Sikaiana	Sikaiana	sika1261	646	ash	lehu	lehu	POLLEX	52008	1183			l e h u
3382	North_Marquesan	Marquesan	nort2845	646	ash	ke/'ehu/	'ehu	POLLEX	79579	1183		kehu/ahi // 'ehu/ahi // kaàhu // ànahu	ʔ e h u
#
4426	Ra’ivavae	Ra'ivavae	aust1304	1461	at	i	i	Tamaititahio-1213-2015	291312	11			i
4619	Tuamotuan	Tuamotu	tuam1242	1461	at	tei	tei	POLLEX	122913	948			t e i
4620	Tuamotuan	Tuamotu	tuam1242	1461	at	i	i	POLLEX	122912	11			i
763	Maori	Maori	maor1246	1461	at	hei	hei	Biggs-85-2005	122909	948		kei	h e i
764	Maori	Maori	maor1246	1461	at	i	i	Biggs-85-2005	122907	11			i
5141	Rurutuan	Rurutuan	aust1304	1461	at	i	i	Meyer-128-2005	61532	11			i
1208	Tahitian	Tahitian (Modern)	tahi1242	1461	at	i	i	Clark-173-2005	61577	11			i
5653	Hawaiian	Hawaiian	hawa1245	1461	at	i	i	71458	81096	11			i
5654	Hawaiian	Hawaiian	hawa1245	1461	at	ma	ma	71458	81095	1039			m a
1633	Rapanui	Rapanui (Easter Island)	rapa1244	1461	at	i	i	POLLEX	61668	11			i
1885	Mangareva	Mangareva	mang1401	1461	at	i/ki	ki	POLLEX	321574	11		i	k i
3110	Sikaiana	Sikaiana	sika1261	1461	at	i	i	POLLEX	61647	11			i
3335	North_Marquesan	Marquesan	nort2845	1461	at	i	i	POLLEX	61442	11			i
#
5340	Rurutuan	Rurutuan	aust1304	1291	back	tautua	tautua	Meyer-128-2005	4412	188			t a u t u a
4576	Ra’ivavae	Ra'ivavae	aust1304	1291	back	tua	tua	Tamaititahio-1213-2015	291163	188			t u a
931	Maori	Maori	maor1246	1291	back	tuaraa	tuaraa	Biggs-85-2005	4369	188			t u a r aː
4835	Tuamotuan	Tuamotu	tuam1242	1291	back	papatua	papatua	POLLEX	4530	188			p a p a t u a
1382	Tahitian	Tahitian (Modern)	tahi1242	1291	back	tua	tua	Clark-173-2005	4457	188			t u a
1829	Rapanui	Rapanui (Easter Island)	rapa1244	1291	back	tu'a ivi	tu'a ivi	POLLEX	133516	188		tuaivi	t u ʔ a i v i
2095	Mangareva	Mangareva	mang1401	1291	back	tua	tua	POLLEX	321410	188			t u a
5828	Hawaiian	Hawaiian	hawa1245	1291	back	kua	kua	71458	4336	188			k u a
3277	Sikaiana	Sikaiana	sika1261	1291	back	tua	tua	POLLEX	4527	188			t u a
3569	North_Marquesan	Marquesan	nort2845	1291	back	tua	tua	POLLEX	4322	188			t u a
#
4434	Ra’ivavae	Ra'ivavae	aust1304	1292	bad, evil	ʔino	ʔino	Tamaititahio-1213-2015	291304	1384			ʔ i n o
4628	Tuamotuan	Tuamotu	tuam1242	1292	bad, evil	kiro	kiro	POLLEX	121393	1384		kino	k i r o
773	Maori	Maori	maor1246	1292	bad, evil	kino	kino	Biggs-85-2005	58633	1384			k i n o
5152	Rurutuan	Rurutuan	aust1304	1292	bad, evil	manuenu	manuenu	Meyer-128-2005	118874	981			m a n u e n u
5153	Rurutuan	Rurutuan	aust1304	1292	bad, evil	ʔino	ʔino	Meyer-128-2005	118873	1384			ʔ i n o
1217	Tahitian	Tahitian (Modern)	tahi1242	1292	bad, evil	'ino	'ino	Clark-173-2005	58721	1384			ʔ i n o
5662	Hawaiian	Hawaiian	hawa1245	1292	bad, evil	'ino	'ino	71458	58600	1384			ʔ i n o
1642	Rapanui	Rapanui (Easter Island)	rapa1244	1292	bad, evil	kino	kino	POLLEX	58812	1384			k i n o
1896	Mangareva	Mangareva	mang1401	1292	bad, evil	kino	kino	POLLEX	321582	1384			k i n o
3117	Sikaiana	Sikaiana	sika1261	1292	bad, evil	hakakinokino	hakakinokino	POLLEX	145940	1384			h a k a k i n o k i n o
3347	North_Marquesan	Marquesan	nort2845	1292	bad, evil	hauhau	hauhau	POLLEX	135741	703			h a u h a u
3348	North_Marquesan	Marquesan	nort2845	1292	bad, evil	ìno	ìno	POLLEX	121391	1384		kino	ʔ i n o
#
